,level_0,index,Health Facility Code Short_x,Facility Name,Old Health Facility Names,Old Health Facility Name 2,Health Facility Type,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Ownership Sub-Classification for private facilities,Street Name and #           ,Building name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Official Website,Hospital Licensing Status,Service Capability,Bed Capacity,target,lat,lon,Health Facility Code Short_y
1109,15006,51,654,MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL,,,Hospital,Private,,,ARMAL BLDG. C. RAYMUNDO AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,MAYBUNGA,137403012,,,With License,Level 1,25.0,1,14.5767065,121.0854242,123
1110,15007,52,655,MEDICAL CENTER MANILA INC.,MEDICAL CENTER MANILA,,Hospital,Private,,,850 UNITED NATIONS AVE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,ERMITA,133908000,,,1000,,With License,Level 3,250.0,1,14.5824171,120.9841712,31
1111,15008,53,656,"MEDICAL CENTER PARAÑAQUE, INC.",,,Hospital,Private,,,"DR. A. SANTOS AVENUE, SUCAT",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,SAN ANTONIO,137604012,,,With License,Level 3,95.0,1,14.4588293,121.0308482,54
1112,15009,54,662,METRO PSYCH FACILITY, , ,Hospital,Private, , ,520 DR. SIXTO AVENUE, ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,MAYBUNGA,137403012, , ,Without License,0,,1,14.5823787,121.0839,123
1114,15011,56,690,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC.-OUR LADY OF PEACE HOSPITAL",OUR LADY OF PEACE HOSPITAL,,Hospital,Private,,,COSTAL ROAD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,SAN DIONISIO,137604004,,,With License,Level 1,90.0,1,14.4933666,120.9874412,54
1115,15013,58,698,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.",PARANAQUE DOCTOR'S HOSPITAL,,Hospital,Private,,,175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,DON BOSCO,137604008,,,With License,Level 2,94.0,1,14.485867,121.028415,54
1116,15014,59,699,PASAY CITY GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,P. BURGOS STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,PASAY CITY,137605000,BARANGAY  60,137605060,1304,,With License,Level 3,150.0,1,14.5492385,121.0008331,54
1117,15015,60,700,PASIG CITY GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,M. EUSEBIO AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,MAYBUNGA,137403012,,,With License,Level 3,200.0,1,14.5724679,121.0992201,123
1118,15017,62,702,"PASOLO MATERNITY AND MEDICAL CLINIC, INC.", , ,Hospital,Private, , ,152 PASOLO ROAD, ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, THIRD DISTRICT (Not a Province)",137500000,CITY OF VALENZUELA,137504000,PASOLO,137504024, , ,Without License,0,,1,14.7092939,120.9519997,31
1119,15018,63,710,PERPETUAL HELP HOSPITAL, , ,Hospital,Private, , ,1504 LAON-LAAN STREET, ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SAMPALOC,133906000,BARANGAY 470,133906076,1008, ,Without License,0,,1,14.6082716,120.9923991,31
1120,15019,64,711,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,,,Hospital,Private,,,836 FLORENTINO CAYCO STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SAMPALOC,133906000,BARANGAY 457,133906063,1008,,With License,Level 1,65.0,1,14.6082716,120.9923991,31
1121,15020,65,713,PHILIPPINE CHILDREN'S MEDICAL CENTER,,,Hospital,Government,Department Of Health,,QUEZON AVENUE CORNER AGHAM ROAD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,BAGONG PAG-ASA,137404009,,,With License,Level 3,200.0,1,14.6476963,121.0411248,123
1122,15021,66,714,PHILIPPINE HEART CENTER,,,Hospital,Government,Department Of Health,,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,CENTRAL,137404020,,,With License,Level 3,454.0,1,14.6440237,121.0481304,123
1123,15022,67,715,PHILIPPINE ORTHOPEDIC CENTER,,,Hospital,Government,Department Of Health,,MA. CLARA STREET CORNER BANAWE STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,SANTA TERESITA,137404107,,,With License,Level 3,700.0,1,14.6280361,121.0033881,123
1124,15023,68,719,CALOOCAN CITY MEDICAL CENTER,PRES. DIOSDADO MACAPAGAL MEMORIAL MEDICAL CENTER,,Hospital,Government,Local Government Unit,,450 A.MABINI STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, THIRD DISTRICT (Not a Province)",137500000,CALOOCAN CITY,137501000,BARANGAY  15,137501015,,,With License,Level 1,82.0,1,14.6483052,120.9734505,31
1125,15024,69,727,RIZAL MEDICAL CENTER,,,Hospital,Government,Department Of Health,,PASIG BOULEVARD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,BAGONG ILOG,137403001,1600,,With License,Level 3,300.0,1,14.5642422,121.0659489,123
1127,15026,71,758,"ST. CLARE'S MEDICAL CENTER, INC.",,,Hospital,Private,,,1838 DIAN STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MAKATI,137602000,PALANAN,137602015,,,With License,Level 2,75.0,1,14.5629508,121.0012987,54
1128,15027,72,768,ST. JUDE GENERAL HOSPITAL AND MEDICAL CENTER,ST. JUDE HOSPITAL AND MEDICAL CENTER,,Hospital,Private,,,DIMASALANG CORNER DON QUIJOTE STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SAMPALOC,133906000,,,1008,,With License,Level 3,50.0,1,14.615786,120.989022,31
1129,15028,73,774,ST. VICTORIA HOSPITAL,,,Hospital,Private,,,444 J.P. RIZAL STREET LAMUAN,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF MARIKINA,137402000,MALANDAY,137402005,,,With License,Level 1,55.0,1,14.642167,121.094607,123
1130,15029,74,778,ST. MARTIN DE PORRES CHARITY HOSPITAL,,,Hospital,Private,,,70 A. BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF SAN JUAN,137405000,KABAYANAN,137405008,1500,,With License,Level 1,121.0,1,14.5991149,121.0316903,123
1131,15030,75,788,TAGUIG-PATEROS DISTRICT HOSPITAL,,,Hospital,Government,Local Government Unit,,EAST SERVICE ROAD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,TAGUIG CITY,137607000,WESTERN BICUTAN,137607018,,,With License,Level 1,110.0,1,14.5108121,121.0341273,54
1132,15031,76,795,UNCIANO GENERAL HOSPITAL,,,Hospital,Private,,,393 BONI AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF MANDALUYONG,137401000,MALAMIG,137401016,,,With License,Level 1,25.0,1,14.573961,121.044197,123
1133,15032,77,797,UNITED DOCTORS MEDICAL CENTER,,,Hospital,Private,,,290 ESPANA CORNER 6TH N. RAMIREZ STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,DON MANUEL,137404033,,,With License,Level 3,100.0,1,14.6170544,121.0019352,123
1134,15033,78,798,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",,,Hospital,Private,,,ALABANG-ZAPOTE RD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF LAS PI?AS,137601000,PAMPLONA UNO,137601006,,,With License,Level 3,215.0,1,14.4480913,120.9858845,54
1136,15035,80,802,VALENZUELA MEDICAL CENTER,,,Hospital,Government,Department Of Health,,,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, THIRD DISTRICT (Not a Province)",137500000,CITY OF VALENZUELA,137504000,KARUHATAN,137504008,,,With License,Level 3,150.0,1,14.6898788,120.978154,31
1137,15036,81,806,"WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.",,,Hospital,Private,,,"23 BUENAMAR STREET, BUENAMAR SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,NOVALICHES PROPER,137404070,,,With License,Level 1,30.0,1,14.719285,121.0390189,123
1139,15119,164,1801,SUNRISE HILL THERAPEUTIC COMMUNITY HOSPITAL,,,Hospital,Private,,,"20 11TH STREET, NEW MANILA",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,,,,,Without License,0,,1,14.616958,121.023175,123
1140,15123,168,1919,CARDINAL SANTOS MEDICAL CENTER,,,Hospital,Private,,,WILSON STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF SAN JUAN,137405000,GREENHILLS,137405021,1500,,With License,Level 3,245.0,1,14.5977862,121.0455347,123
1141,15128,173,1981,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,Hospital,Government,Department Of Health,,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,CENTRAL,137404020,,WWW.NKTI.GOV.PH,With License,Level 3,315.0,1,14.6472814,121.0473344,123
1142,15133,178,2174,OLIVAREZ GENERAL HOSPITAL,,,Hospital,Private,,,"DR. A. SANTOS AVENUE, SUCAT ROAD",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,SAN DIONISIO,137604004,,,With License,Level 1,50.0,1,14.4790661,120.9972636,54
1143,15135,180,2232,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,,,Hospital,Government,Department Of Health,,FILINVEST CORPORATE CITY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MUNTINLUPA,137603000,ALABANG,137603001,,,With License,Level 3,50.0,1,14.4098693,121.0372225,54
1144,15138,183,2244,AIR FORCE GENERAL HOSPITAL,,,Hospital,Government,Department of National Defense,,COL. JESUS VILLAMOR AIR BASE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,PASAY CITY,137605000,BARANGAY 183,137605183,1309,,With License,Level 2,100.0,1,14.516937,121.019969,54
1145,15139,184,2245,"MEDICAL CENTER MUNTINLUPA, INC",,,Hospital,Private,,,38 NATIONAL ROAD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MUNTINLUPA,137603000,PUTATAN,137603006,,,With License,Level 2,95.0,1,14.3983677,121.0363768,54
1146,15144,189,2314,SAN JUAN MEDICAL CENTER,,,Hospital,Government,Local Government Unit,,N.DOMINGO STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF SAN JUAN,137405000,BALONG-BATO,137405002,1500,,With License,Level 1,150.0,1,14.6065754,121.0236011,123
1147,15150,195,2407,FEU- DR. NICANOR REYES MEDICAL FOUNDATION,,,Hospital,Private,,,REGALADO AVENUE WEST FAIRVIEW,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,FAIRVIEW,137404041,,,With License,Level 3,300.0,1,14.6986356,121.0671184,123
1148,15155,200,2436,MOTHER TERESAS HOME THAT CARES INC, , ,Hospital,Private, , ,257-A ROSARIO STREET, ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF MANDALUYONG,137401000,PLAINVIEW,137401022, , ,Without License,0,,1,14.5835894,121.0282186,123
1149,15162,207,2550,SALVE REGINA GENERAL HOSPITAL INC.,,,Hospital,Private,,,LOT A 2A MARCOS HIGHWAY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,DELA PAZ,137403006,,,With License,Level 1,50.0,1,14.6199475,121.0963324,123
1150,15164,209,2561,"FAMILY HEALTHCARE HOSPITAL-THE REINE-MERE MEDICAL FACILITIES, INC.",MOTHER REGINA HOSPITAL,,Hospital,Private,,,"2 RUBY STREET, DOÑA JUANA SUBDIVISION.",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,ROSARIO,137403017,,,With License,Level 1,20.0,1,14.5764261,121.0851562,123
1151,15180,225,2852,"TRINITY WOMAN AND CHILD CENTER ""THE BIRTHPLACE""",,,Hospital,Private,,,2732 NEW PANADEROS STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SANTA ANA,133914000,BARANGAY 888,133914081,,,With License,Level 1,25.0,1,14.584378,121.017462,31
1152,15181,226,2872,"VILLAROSA HOSPITAL, INC.",VILLAROSA HOSPITAL,,Hospital,Private,,,11 SALALILLA STREET PROJ 4,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,MILAGROSA,137404067,1109,,With License,Level 1,24.0,1,14.6219457,121.0661992,123
1153,15183,228,2911,VETERANS MEMORIAL MEDICAL CENTER,,,Hospital,Government,Department of National Defense,,"NORTH AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,BAGONG PAG-ASA,137404009,2019,,With License,Level 3,766.0,1,14.6561184,121.0400556,123
1154,15188,233,2995,OSPITAL NG PARAÑAQUE,FLORENCIO V. BERNABE SR. MEMORIAL HOSPITAL,PARANAQUE COMMUNITY HOSPITAL,Hospital,Government,Local Government Unit,,,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,LA HUERTA,137604003,,,With License,Level 1,50.0,1,14.5004142,120.9911214,54
1155,15189,234,2997,UNIVERSITY OF SANTO TOMAS HOSPITAL,,,Hospital,Private,,,ESPAÑA BOULEVARD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SAMPALOC,133906000,,,1008,,With License,Level 3,700.0,1,14.6114265,120.9902019,31
1156,15190,235,3001,THE CLINIC OF THE HOLY SPIRIT INC, , ,Hospital,Private, , ,"4 LA STREET IMMACULATE CONCEPTION, CUBAO", ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,E. RODRIGUEZ,137404035, , ,Without License,0,,1,14.6235547,121.0425188,123
1157,15191,236,3012,M-TECH MEDICAL HOSPITAL, , ,Hospital,Private, , , , ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MAKATI,137602000, , , , ,Without License,0,,1,14.561404,121.014227,54
1158,15194,239,3039,ALFONSO SPECIALIST HOSPITAL,,,Hospital,Private,,,185 DR. SIXTO ANTONIO AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,ROSARIO,137403017,,,With License,Level 1,22.0,1,14.5901272,121.084647,123
1159,15197,242,3066,PNP GENERAL HOSPITAL,,,Hospital,Government,Philippine National Police,,"EDSA, CAMP CRAME",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,BAGONG LIPUNAN NG CRAME,137404008,,,With License,Level 2,176.0,1,14.6156163,121.0519252,123
1160,15203,248,3140,VALDEZ PADRON HOSPITAL, , ,Hospital,Private, , ,"12 MARIANO STREET, GULOD", ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,GULOD,137404043, , ,Without License,0,,1,14.7082925,121.0396467,123
1161,15206,251,3191,DE LOS SANTOS MEDICAL CENTER,DELOS SANTOS - STI MEDICAL CENTER,,Hospital,Private,,,201 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,KALUSUGAN,137404047,,,With License,Level 3,150.0,1,14.6200907,121.0177773,123
1162,15209,254,3264,CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,,,Hospital,Private,,,37 GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,TAGUIG CITY,137607000,TUKTUKAN,137607014,,,With License,Level 1,50.0,1,14.5292634,121.0706663,54
1163,15211,256,3281,METROPOLITAN MEDICAL CENTER,,,Hospital,Private,,,1357 G. MASANGKAY STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,TONDO I / II,133901000,,,1012,,With License,Level 3,300.0,1,14.6096397,120.9784934,31
1164,15213,258,3302,PASCUAL GENERAL HOSPITAL,,,Hospital,Private,,,130 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,BAESA,137404005,,,With License,Level 1,30.0,1,14.666991,121.0090838,123
1165,15221,266,3416,"Q.C. ST. AGNES GENERAL HOSPITAL, INC.",,,Hospital,Private,,,241 ROOSEVELT AVENUE SAN FRANCISCO DEL MONTE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,SAN ANTONIO,137404096,,,With License,Level 1,50.0,1,14.647461,121.017415,123
1167,15232,277,3488,MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC, , ,Hospital,Private, , ,1815 LSWA BUILDING SINGALONG, ,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,MALATE,133910000, , ,1004, ,Without License,0,,1,14.570199,120.9915848,31
1168,15233,278,3498,OSPITAL NG MAYNILA MEDICAL CENTER,,,Hospital,Government,Local Government Unit,,"PRES. QUIRINO AVENUE, CORNER ROXAS BOULEVARD",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,MALATE,133910000,,,1004,,With License,Level 3,300.0,1,14.5640798,120.9863884,31
1169,15234,279,3499,OSPITAL NG MUNTINLUPA,,,Hospital,Government,Local Government Unit,,CIVIC DRIVE FILINVEST CORPORATE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MUNTINLUPA,137603000,ALABANG,137603001,,,With License,Level 2,149.0,1,14.4142709,121.0441734,54
1170,15235,280,3500,OSPITAL NG SAMPALOC,,,Hospital,Government,Local Government Unit,,677 GERONIMO CORNER CAROLA STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,SAMPALOC,133906000,,,1008,,With License,Level 1,50.0,1,14.607878,120.9967203,31
1171,15236,281,3522,ST. LUKE'S MEDICAL CENTER,,,Hospital,Private,,,279 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,KALUSUGAN,137404047,,,With License,Level 3,633.0,1,14.6225416,121.0232346,123
1172,15242,287,3626,MISSION HOSPITAL,MEDICAL MISSION GROUP METRO MANILA EAST HOSPITAL & HEALTH SERVICES COOPERATIVE,,Hospital,Private,,,KM. 17 ORTIGAS AVENUE EXTENSION,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,ROSARIO,137403017,,,With License,Level 1,30.0,1,14.5898229,121.0975159,123
1173,15247,292,3765,CALALANG GENERAL HOSPITAL,,,Hospital,Private,,,16R VALENZUELA STREET MC ARTHUR HIGHWAY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, THIRD DISTRICT (Not a Province)",137500000,CITY OF VALENZUELA,137504000,MARULAS,137504019,,,With License,Level 1,50.0,1,14.6727141,120.9824212,31
1175,15256,301,3872,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,Hospital,Government,Department Of Health,,SUMULONG HIGHWAY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF MARIKINA,137402000,SANTO NIÑO,137402010,,,With License,Level 3,150.0,1,14.6358837,121.0982344,123
1176,15257,302,3873,AMISOLA MATERNITY AND CHILDRENS HOSPITAL,AMISOLA MATERNITY HOSPITAL,,Hospital,Private,,,1068 HERMOSA STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,TONDO I / II,133901000,,,1013,,With License,Level 1,25.0,1,14.632708,120.978483,31
1177,15258,303,3884,SABATER HOSPITAL,,,Hospital,Private,,,20 CARUNCHO AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,CITY OF PASIG,137403000,SAN NICOLAS (POB.),137403023,,,With License,Level 1,20.0,1,14.5600486,121.0829079,123
1178,15264,309,3999,MANILA DOCTORS HOSPITAL,,,Hospital,Private,,,667 UNITED NATIONS AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",133900000,ERMITA,133908000,BARANGAY 667,133908009,1000,WWW.MANILADOCTORS.COM.PH,With License,Level 3,300.0,1,14.5820218,120.9826523,31
1180,15272,317,4123,BEATO-CAUILAN HOSPITAL,,,Hospital,Private,,,BLOCK 9 LOT 1 VILLA CAROLINA SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF MUNTINLUPA,137603000,TUNASAN,137603008,,,With License,Level 1,10.0,1,14.370943,121.049406,54
1181,15273,318,4124,QUEZON CITY GENERAL HOSPITAL,,,Hospital,Government,Local Government Unit,,"SEMINARY ROAD, EDSA",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,BAHAY TORO,137404012,,,With License,Level 3,250.0,1,14.6611598,121.0182091,123
1183,15282,327,4355,DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE HOSPITAL,DIHMESCO GENERAL HOSPITAL,,Hospital,Private,,,215 GEN. LUIS STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,NAGKAISANG NAYON,137404068,,,With License,Level 1,32.0,1,14.7219939,121.0358511,123
1184,15284,329,4385,QUEENSBERRY HOSPITAL,,,Hospital,Private,,,56 RAMIREZ STREET,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,NOVALICHES PROPER,137404070,,,With License,Level 1,19.0,1,14.723859,121.0397136,123
1185,15286,331,4395,ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,,,Hospital,Private,,,ALABANG-ZAPOTE RD. COR. MENDOZA ST. PELAYO VILLAGE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF LAS PI?AS,137601000,TALON UNO,137601008,,,With License,Level 1,25.0,1,14.4428476,120.996961,54
1186,15289,334,4437,SOUTH SUPERHIGHWAY MEDICAL CENTER,,,Hospital,Private,,,"KM. 17, WEST SERVICE ROAD, SOUTH SUPER HIGHWAY",,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF PARA?AQUE,137604000,MARCELO GREEN VILLAGE,137604009,,,With License,Level 2,50.0,1,14.4747843,121.0448469,54
1187,15292,337,4475,"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",SAN LORENZO GENERAL HOSPITAL,,Hospital,Private,,Corporation,QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,PASONG PUTIK PROPER (PASONG PUTIK),137404079,,,With License,Level 1,22.0,1,14.73509,121.033594,123
1188,15293,338,4489,ARMY GENERAL HOSPITAL,FORT BONIFACIO GENERAL HOSPITAL,,Hospital,Government,Department of National Defense,,,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,TAGUIG CITY,137607000,FORT BONIFACIO,137607020,,,With License,Level 1,200.0,1,14.5309752,121.047928,54
1189,15294,339,4499,QUEZON INSTITUTE,,,Hospital,Private,,,E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,SANTOL,137404110,,,With License,Level 1,85.0,1,14.6163599,121.0126208,123
1190,15296,341,4515,"CAPITOL MEDICAL CENTER, INC.",,,Hospital,Private,,,SCOUT MAGBANUA CORNER PANAY AVENUE,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, SECOND DISTRICT (Not a Province)",137400000,QUEZON CITY,137404000,PALIGSAHAN,137404075,,,With License,Level 3,300.0,1,14.6342467,121.0228414,123
1191,15299,344,4579,DR. E. ZARATE GENERAL HOSPITAL,GOLDEN ACRES DOCTORS HOSPITAL,,Hospital,Private,,,BLOCK 5 LOT 5 CRYSTAL STREET GOLDEN ACRES SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),130000000,"NCR, FOURTH DISTRICT (Not a Province)",137600000,CITY OF LAS PI?AS,137601000,TALON SINGKO,137601020,,,With License,Level 1,16.0,1,14.4189237,120.9977796,54
